Summary,Description,Custom field (Epic Link),Component/s,Component/s
Ikke overskriv prosjektreferanse dersom det eksisterer,"Ønske om at refferanse-ID ikkje vert overskrive dersom det er deffinert eigen refferanse-ID på objektet i data-fanen.

!image-2021-03-25-12-38-23-184.png!
h2. Alternativ løysing:

Bytt ut dagens avhuking med radioknappar:
 * (Default) Fyll inn prosjektreferanse for objekt som ikke har det i kontrakten:
 * Overskriv prosjektreferanse på alle objekt:
 * Ikke oppdater prosjektreferanse.

[innput-felt med prosjektets referanse-ID som default]
h2. Tileggsendring:

Dersom prosjektreferanse oppdaterast ved innsending til NVDB, kan original ID stå igjen i datafanene så den evt. kan korrigerast tilbake i NVDB ved feilregistrering?

 
h2. Analyse

Referanse-ID fra innstillingsfanen legger seg som default i feltet hvor man kan velge referanse-ID ved innsending til NVDB.

Skriver man inn prosjektreferanse i eksport-fanen vil denne overskrive prosjektreferanse i datafanen for alle innsendte objekter og Prosjektreferanse i NVDB, men ikke referanse-ID i kontrakta.

 
h2. Løsning

Valgte å ikke gå for alternativ løsning, siden det vil innebære endringer i Angular. Angular har jeg lite erfaring med og det vil føre til mer teknisk gjeld.

Har endret sånn at kun vegobjekter som ikke har noen prosjektreferanse i datafanen som får ny prosjektreferanse valgt i eksportfanen/innstillingsfanen. Det vil si at vegobjekter som blir importert fra vegkart og som allerede har en prosjektreferanse vil ikke få ny prosjektreferanse. Hvis man vil ha ny prosjektreferanse på de må man bruke datafanen. Vegobjekter der man manuelt har valgt prosjektreferanse vil heller ikke få overskrevet denne. Dersom vegobjekter skulle ha ""tom"" prosjektreferanse, altså at det finnes et prosjektreferanse-attributt i databasen, men at det inneholder en tom streng eller bare whitespace vil det bli overskrevet.

Funksjonen i backend er skrevet på en generell måte sånn at det vil være enkelt å legge til overskriv-alle-prosjektreferanser-alternativ i frontend senere.

Tilleggsendringen er ikke implementert.",NVDB-6937,Datafangst,
Problemer med pålogging av EXTERNAL,"*Bakgrunn*

Olav Dahl Solstad Mar 02 15:20
 Vi er flere som sliter litt med å komme inn på kontrollpanelet. Noen får ""Unauthorized"" når man prøver å gå dit, mens andre får opp en side der man kan velge ""Ekstern bruker"" og automatisk blir logget inn som ""anonymous-external""

 

Olav Dahl Solstad Mar 12 10:23

Kom over den ""gamle"" urlen til kontrollpanelet - [https://www.vegvesen.no/nvdb/apiskriv/kontrollpanel]  - og der får man til å logge inn med ekstern bruker

*Analyse*

*Unauthorized* kommer av utdatert IPlanetory-token som ligger i coockies og en wipe vil fjerne dette. Dette kommer av bruk av AAA-tjenesten. Denne funksjonalitet vil opphøre i nær framtid.

 

*anonymous-external* kommer ved at bruker trykker på Ekstern innlogging og fører til automatisk redirect til kontrollpanelet som *ANONYMOUS-EXTERNAL*.

 

TOKEN: eyJ0eXAiOiJKV1QiLCJ6aXAiOiJOT05FIiwia2lkIjoicTJIT3o5TlNka0wvYlRIT0EzRVp0NmxQb3BjPSIsImFsZyI6IlJTMjU2In0.eyJzdWIiOiJhbm9ueW1vdXMtZXh0ZXJuYWwiLCJjdHMiOiJPQVVUSDJfU1RBVEVMRVNTX0dSQU5UIiwiYXV0aF9sZXZlbCI6MCwiYXVkaXRUcmFja2luZ0lkIjoiYjJmYjY2N2QtN2M3OC00NTdkLTkzOTMtMDZjYTYwNTFiMTQ2LTExNzAzODQ0NTAiLCJpc3MiOiJodHRwczovL3d3dy52ZWd2ZXNlbi5ubzo0NDMvb3BlbmFtL29hdXRoMi9yZWFsbXMvcm9vdC9yZWFsbXMvRXh0ZXJuYWwiLCJ0b2tlbk5hbWUiOiJhY2Nlc3NfdG9rZW4iLCJ0b2tlbl90eXBlIjoiQmVhcmVyIiwiYXV0aEdyYW50SWQiOiJMUEFKN2hfNW9RT3NTSzFwNWp4cENPbmg5NG8iLCJub25jZSI6IjZkMmFjYTgxMmFhNDQyMTU5ZWZhN2Y4M2Y2MzJmOTU3IiwiYXVkIjoiT0F1dGgyX252ZGJhcGlza3JpdiIsIm5iZiI6MTYxNjE2NTQyOSwiZ3JhbnRfdHlwZSI6InRva2VuIiwic2NvcGUiOlsic3Z2cHJvZmlsZSIsIm9wZW5pZCJdLCJhdXRoX3RpbWUiOjE2MTYxNjU0MjksInJlYWxtIjoiL0V4dGVybmFsIiwiZXhwIjoxNjE2MTk0MjI5LCJpYXQiOjE2MTYxNjU0MjksImV4cGlyZXNfaW4iOjI4ODAwLCJqdGkiOiJ5WV9tQ2Q1Q3gzWlpDUGVXNUJ3VFc1OUsxMFEifQ.ngfj-Q0zKunpuFAUtWqDOfvzIjTlvGYugx6NXaYX5weTauKzoejywtwTid6dtA8bbgNSaMyYqzEmL5A9T6vPXllWksZtiFoBEDCGVpyI4RFA_cFKgHX-QkSS_TkmJHCqYdGKUiFmrBOrQ6TcnBTFwI9hNXfprZ3-gdEivlET_A1scaJlAYGzUTPwoNTlwY8qRS9djx6W7lEVb86Gw9GJy1UMzjI474l4gJMiX-VnwErD6G7iOnwwRETBQfau5cqHj8-UMp_ZxxGimGRTtXXV-k8Rs04PimaL7Klr3XnKOSpgLQfc0X51-9HQIYnGLXwR1k00As6p0MbILMv47Psalw

 

Blir automatisk lagt til i URL.

Denne har informasjonen: 

{ ""sub"": ""anonymous-external"", ""cts"": ""OAUTH2_STATELESS_GRANT"", ""auth_level"": 0, ""auditTrackingId"": ""b2fb667d-7c78-457d-9393-06ca6051b146-1170384450"", ""iss"": ""https://www.vegvesen.no:443/openam/oauth2/realms/root/realms/External"", ""tokenName"": ""access_token"", ""token_type"": ""Bearer"", ""authGrantId"": ""LPAJ7h_5oQOsSK1p5jxpCOnh94o"", ""nonce"": ""6d2aca812aa442159efa7f83f632f957"", ""aud"": ""OAuth2_nvdbapiskriv"", ""nbf"": 1616165429, ""grant_type"": ""token"", ""scope"": [ ""svvprofile"", ""openid"" ], ""auth_time"": 1616165429, ""realm"": ""/External"", ""exp"": 1616194229, ""iat"": 1616165429, ""expires_in"": 28800, ""jti"": ""yY_mCd5Cx3ZZCPeW5BwTW59K10Q"" }

 

Har lokalisert hvor OIDC blir handert i Skriv. Kommer til å gjennomføre debugging for å finne rotårsaken automatisk redirect uten at bruker har fårr skrevet inn brukernavn og passord.

 

 

 ",NVDB-6937,Skriv-API,
Flere filtreringsmuligheter,"Inn fra support:  [tina.vestersager@vegvesen.no|mailto:support%C2%A0tina.vestersager@vegvesen.no] 

For fartsgrense filteret ønsker vi at man kan velge «mindre enn» og «større enn». Nå er det kun «lik» og «ulik». Det er behov for å se vei med fartsgrense til og med 50km og tilsvarende fra og med 60km og høyere.  

 

Legge til filtrering på ""større enn"" og ""mindre enn""

 

Kontakt [tina.vestersager@vegvesen.no|mailto:Kontakt%C2%A0tina.vestersager@vegvesen.no] for å sjekke om ny filtrering dekker behovet. 

 ",NVDB-6937,Vegkart,
Endre navn på kontraktgruppe,"Ønsker å endre navnet på «Drift og vedlikehold vest» til «SVV Drift og vedlikehold vest».

Jan Vidar Strømsvold <jan.vidar.stromsvold@vegvesen.no>",NVDB-6938,Datafangst,
"Bekreft-knapp ved ""oppdater alle"" i datafanen","Legg til knapp for å bekrefte likt med fjern fra kontrakt vd kopiering av eigenskap til alle objekt i Datafanen.

!image-2021-03-18-09-56-03-027.png!",NVDB-6937,Datafangst,
"Feil i visrute ""zoom til geometri""","Vi forsøkte å finne denne veglenka* i kart ved å hente ut geometrien** og bruke zoom til geometri i visrute***. Den tar oss derimot til helt feil sted på kartet.

Det korrekte område kan sees her****. Denne veglenkesekvensen er også synelig i visrute om man navigerer dit manuelt.


{code:java}

* https://nvdbapiles-v3.atlas.vegvesen.no/vegnett/veglenkesekvenser/1753933

** LINESTRING Z(-25730.63 6756565.13 8.112, -25718.3598632813 6756547.38964844 7.912, -25699.2202148438 6756524.37988281 7.712, -25681.3901367188 6756505.71972656 7.512, -25659.702 6756484.302 7.312)

*** https://nvdb-vegdata.github.io/nvdb-visrute/PROD/

**** https://vegkart.atlas.vegvesen.no/#kartlag:geodata/@-25663,6756510,15/hvor:~(vegsystemreferanse~(~'EV39S73D129M10))/vegnett:~'geometri+~()/valgt:1753933:5:9

{code}
",NVDB-6937,Les-API,
Support: Feil i json format,"""Hi there!
Recently got an exception by using nvdb-api-client v.1.15:
Caused by: java.lang.RuntimeException: Error processing""



""BRUTUS heavily uses NVDB services through nvdb-api-client and now we noticed fails at critical synchronization jobs between 2 systems.
 
We use nvdb-api-client version 1.15
 
All environments, including PRODUCTION affected.""



""Below is the stack trace from Splunk logs (PROD), from recent errors at 2021-03-12T00:00:36,212+0100
 
no.vegvesen.nvdbapi.client.exceptions.ClientException: HTTP error 200 for request bfefa8ec-2d35-ecd1-5fe1-f58b7abdb7ce:
 
Caused by: java.lang.RuntimeException: Error processing 
...
{JSON payload}
...
at no.vegvesen.nvdbapi.client.gson.GsonUtil.lambda$rt$9(GsonUtil.java:231) at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193) at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193) at java.util.ArrayList$Itr.forEachRemaining(ArrayList.java:901) at java.util.Spliterators$IteratorSpliterator.forEachRemaining(Spliterators.java:1801) at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482) at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472) at java.util.stream.ReduceOps$ReduceOp.evaluateSequential(ReduceOps.java:708) at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234) at java.util.stream.ReferencePipeline.collect(ReferencePipeline.java:566) at no.vegvesen.nvdbapi.client.clients.GenericResultSet.next(GenericResultSet.java:144) ... 13 common frames omitted Caused by: java.lang.IllegalArgumentException: *+navn did not contain a string.+* at no.vegvesen.nvdbapi.client.gson.GsonUtil.parseStringMember(GsonUtil.java:83) at no.vegvesen.nvdbapi.client.gson.RoadObjectParser.lambda$parseStreets$3(RoadObjectParser.java:219) at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193) at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193) at java.util.ArrayList$Itr.forEachRemaining(ArrayList.java:901) at java.util.Spliterators$IteratorSpliterator.forEachRemaining(Spliterators.java:1801) at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482) at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472) at java.util.stream.ReduceOps$ReduceOp.evaluateSequential(ReduceOps.java:708) at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234) at java.util.stream.ReferencePipeline.collect(ReferencePipeline.java:566) at no.vegvesen.nvdbapi.client.gson.RoadObjectParser.parseStreets(RoadObjectParser.java:220) at no.vegvesen.nvdbapi.client.gson.RoadObjectParser.parseLocation(RoadObjectParser.java:173) at no.vegvesen.nvdbapi.client.gson.RoadObjectParser.lambda$parse$0(RoadObjectParser.java:115) at java.util.Optional.map(Optional.java:215) at no.vegvesen.nvdbapi.client.gson.RoadObjectParser.parse(RoadObjectParser.java:115) at no.vegvesen.nvdbapi.client.gson.GsonUtil.lambda$rt$9(GsonUtil.java:229) ... 23 common frames omitted""

",NVDB-6937,Les-API,
Regelmessige møter 2021,"Oppgave for kontinuerlig føring av timer for regelmessige møter i 2021. Alle i teamet kan føre timer på denne.

Eksempler
 * Daglige standups (åpne vegdata, forvaltning, NVDB team daglig møteplass)
 * Grooming møter for alle produktene
 * Retrospektiv",NVDB-6940,,
Slette kontraktgruppe,"Ønsker å få fjernet kontraktsgruppen «Driftskontrakter region vest»,

Jan Vidar Strømsvold <jan.vidar.stromsvold@vegvesen.no>",NVDB-6938,Datafangst,
Bruke navn i feilmelding om at objektet ikke har stedfesting som fullstendig dekkes av mor,"Eksempel på feilmelding vi får når et datterobjekt sin stedfesting ikke er fullstendig dekket av morobjektet:

Skiltplate (12-1-2021 10:40:45): Objektet har ikke stedfesting som fullstendig dekkes av morobjekt av type Skiltpunkt (95): tempId 08c6e9d7-aa5a-4019-ada4-420ff512ee12

Hvis mor ikke er i NVDB fra før får vi tilbake denne tempIden. Da kan ikke brukerne vite hvilket objekt det er snakk om. Denne brukes i datafangst kun for å ha en id i databasen. Går det an å bruke navn/alias istedenfor sånn som på datterobjektet?

!image-2021-03-11-15-10-41-789.png!",NVDB-6937,Skriv-API,
Endring av verdi i datafanen funker ikke,"Legge til verdier på enkelte vegobjekter feiler.

Fikk supportmail om at de ikke klarer å legge inn verdier på to vegobjekter. Det gjelder de som er markert med feil på bildet.

Prøvde selv og fikk det ikke til jeg heller. Prøvde å sette inn oppsettingsdato og endre på skiltnummer.

!image-2021-03-11-12-23-36-185.png!

 

 
h3. Hvordan reprodusere

Last inn vegobjekter som korriger: [https://nvdbapiles-v3.atlas.vegvesen.no/vegobjekter/96?segmentering=true&kartutsnitt=-49702.214%2C6622999.058%2C-49417.786%2C6623108.942&inkluder=lokasjon%2Cmetadata%2Cegenskaper%2Cgeometri%2Cvegsegmenter]

Endre verdien på skiltnummer på Skiltplate:745372148. Du vil få feil

 
h3. Analyse

Koden krasjer på linje 134 i AttributeAutoCorrector
{code:java}
String value = fa.getValue().trim();
{code}
fordi fa.getValue() er lik null.



Det er verdien på attributtet ""Tekst"" som er satt til null. Attributter som er tomme pleier egentlig ikke å ligge i datafangst-databasen i det hele tatt. Denne blir lest også når andre attributter blir oppdatert. Da krasjer koden, man får feilmelding og ønskede attributter blir ikke oppdatert.

Verdien av tekstfeltet kan derimot endres. Da kan man løse problemet enkelt ved å legge på tekst og fjerne den etterpå.

Objektet sånn det ser ut fra LES:

[https://nvdbapiles-v3.atlas.vegvesen.no/vegobjekter/96/745372148/1]

Da ser egenskapstypen slik ut:
<egenskap>
<id>1910</id>
<navn>Tekst</navn>
<egenskapstype>Tekst</egenskapstype>
<datatype>Tekst</datatype>
</egenskap>
 
Den mangler verdi. Skal datafangst kunne håndtere dette eller er det en feil i NVDB?",NVDB-6937,Datafangst,
SOSI-eksport av leverte data,"I dag kan data under behandling eksporterast til SOSI i Eksport-fanen, men så snart det er levert til NVDB er det ikkje mogleg lenger. Det er ønske om å kunne eksportere leverte data og, til dømes for vidare import for leveranse til FKB.

 

Slik det er i dag må det være endring på et objekt av vegobjekttypen for at en skal kunne laste ned sosi-fil.

En supportsak fra Olav Løberg:

Han ønsker å kunne laste ned Sosi fra FKB filen i eksportfanen men dette er ikke mulig.",NVDB-6937,Datafangst,
580-Kontraktområde mangler vegsegmenter,"I SINUS infra er vi nå i test med det nye opplegget for å opprette/redigere/slette objekter med mange stedfestinger (vegsystemreferanser). Vi har bla. brukt Vinterdriftsklasse i vår testing og det fungerer nå fint med svært mange stedfestinger.

Når vi går løs på kontraktsområder ser denne objekttypen veldig annerledes ut enn «normale» objekttyper i Datakatalogen/NVDB. Derfor har vi noen spørsmål om Kontraktsområde (580).

Eksempel fra V3-Les-Test: [https://nvdbapiles-v3.test.atlas.vegvesen.no/vegobjekter/580/316720625/1.json?inkluder=alle]

Hvorfor mangler vegsegmenter for objekter av typen kontraktsområde (580)? Vårt opplegg for å håndtere sånne store objekter er avhengig av vegsegmentene for å kunne håndtere koblingen mellom veglenkene og stedfestingen. Endrer brukeren på en stedfesting må vi vite hvilke veglenker dette påvirker.

Er det spesiell behandling av 580 sammenlignet med 810 i Les/IND

Sigmund Fredriksen <Sigmund.Fredriksen@triona.no>",NVDB-6937,Les-API,
Fikse feilmeldinger i gradle tasks,"Flere javadoc-relaterte gradle tasks spytter ut feilmeldinger under bygging. Dette er generelt enkle feil som omhandler å definere parametere og returtyper. I tillegg kan gradle-versjonen fint oppdateres, som mulig medfører enkle endringer. Dette ble sist gjort 16.10.2020.
{quote}[NVDB Reader » master #1222 Console [Jenkins]|http://svvunvdbbuild02:8080/jenkins/view/NVDB%20API%20Les/job/NVDB%20Reader/job/master/1222/console]
 ...
 /var/opt/vegdata/jenkins_home/workspace/NVDB_Reader_master/modules/nvdbind-cache/src/main/java/no/vegvesen/nvdbind/cache/h2/RoadSystemSectionLookup.java:94: warning: no @param for period
 public List<RoadSystemSection> getByPosition(long nid, double pos, Period period) {
 ...
{quote}

 Det ble tidligere diskutert om javadocs skal fjernes helt, men med tanke på at vi allerede har en god del implementasjoner av det i koden, synes jeg det skal videreføres. I tillegg er dette en måte å få bedre kontroll på koden nå i startfasen av overtagelsen.",NVDB-6938,NVDB-IND,
Fikse feilmeldinger i gradle tasks,"Javadoc-tasks, blant annet, gir flere feilmeldinger under bygging, se f.eks siste kjøring:

[NVDB Reader » master #1222 Console [Jenkins]|http://svvunvdbbuild02:8080/jenkins/view/NVDB%20API%20Les/job/NVDB%20Reader/job/master/1222/console]
...
/var/opt/vegdata/jenkins_home/workspace/NVDB_Reader_master/modules/nvdbind-cache/src/main/java/no/vegvesen/nvdbind/cache/h2/RoadSystemSectionLookup.java:94: warning: no @param for period
    public List<RoadSystemSection> getByPosition(long nid, double pos, Period period) {
...",,,
